id,name,rgb
3,INDIANRED,#CD5C5C
4,LIGHTCORAL,#F08080
5,SALMON,#FA8072
6,DARKSALMON,#E9967A
7,LIGHTSALMON,#FFA07A
8,CRIMSON,#DC143C
9,RED,#FF0000
10,FIREBRICK,#B22222
11,DARKRED,#8B0000
12,PINK,#FFC0CB
13,LIGHTPINK,#FFB6C1
14,HOTPINK,#FF69B4
15,DEEPPINK,#FF1493
16,MEDIUMVIOLETRED,#C71585
17,PALEVIOLETRED,#DB7093
18,LIGHTSALMON,#FFA07A
19,CORAL,#FF7F50
20,TOMATO,#FF6347
21,ORANGERED,#FF4500
22,DARKORANGE,#FF8C00
23,ORANGE,#FFA500
24,GOLD,#FFD700
25,YELLOW,#FFFF00
26,LIGHTYELLOW,#FFFFE0
27,LEMONCHIFFON,#FFFACD
28,LIGHTGOLDENRODYELLOW,#FAFAD2
29,PAPAYAWHIP,#FFEFD5
30,MOCCASIN,#FFE4B5
31,PEACHPUFF,#FFDAB9
32,PALEGOLDENROD,#EEE8AA
33,KHAKI,#F0E68C
34,DARKKHAKI,#BDB76B
35,LAVENDER,#E6E6FA
36,THISTLE,#D8BFD8
37,PLUM,#DDA0DD
38,VIOLET,#EE82EE
39,ORCHID,#DA70D6
40,FUCHSIA,#FF00FF
41,MAGENTA,#FF00FF
42,MEDIUMORCHID,#BA55D3
43,MEDIUMPURPLE,#9370DB
44,REBECCAPURPLE,#663399
45,BLUEVIOLET,#8A2BE2
46,DARKVIOLET,#9400D3
47,DARKORCHID,#9932CC
48,DARKMAGENTA,#8B008B
49,PURPLE,#800080
50,INDIGO,#4B0082
51,SLATEBLUE,#6A5ACD
52,DARKSLATEBLUE,#483D8B
53,MEDIUMSLATEBLUE,#7B68EE
54,GREENYELLOW,#ADFF2F
55,CHARTREUSE,#7FFF00
56,LAWNGREEN,#7CFC00
57,LIME,#00FF00
58,LIMEGREEN,#32CD32
59,PALEGREEN,#98FB98
60,LIGHTGREEN,#90EE90
61,MEDIUMSPRINGGREEN,#00FA9A
62,SPRINGGREEN,#00FF7F
63,MEDIUMSEAGREEN,#3CB371
64,SEAGREEN,#2E8B57
65,FORESTGREEN,#228B22
66,GREEN,#008000
67,DARKGREEN,#006400
68,YELLOWGREEN,#9ACD32
69,OLIVEDRAB,#6B8E23
70,OLIVE,#808000
71,DARKOLIVEGREEN,#556B2F
72,MEDIUMAQUAMARINE,#66CDAA
73,DARKSEAGREEN,#8FBC8B
74,LIGHTSEAGREEN,#20B2AA
75,DARKCYAN,#008B8B
76,TEAL,#008080
77,AQUA,#00FFFF
78,CYAN,#00FFFF
79,LIGHTCYAN,#E0FFFF
80,PALETURQUOISE,#AFEEEE
81,AQUAMARINE,#7FFFD4
82,TURQUOISE,#40E0D0
83,MEDIUMTURQUOISE,#48D1CC
84,DARKTURQUOISE,#00CED1
85,CADETBLUE,#5F9EA0
86,STEELBLUE,#4682B4
87,LIGHTSTEELBLUE,#B0C4DE
88,POWDERBLUE,#B0E0E6
89,LIGHTBLUE,#ADD8E6
90,SKYBLUE,#87CEEB
91,LIGHTSKYBLUE,#87CEFA
92,DEEPSKYBLUE,#00BFFF
93,DODGERBLUE,#1E90FF
94,CORNFLOWERBLUE,#6495ED
95,MEDIUMSLATEBLUE,#7B68EE
96,ROYALBLUE,#4169E1
97,BLUE,#0000FF
98,MEDIUMBLUE,#0000CD
99,DARKBLUE,#00008B
100,NAVY,#000080
101,MIDNIGHTBLUE,#191970
102,CORNSILK,#FFF8DC
103,BLANCHEDALMOND,#FFEBCD
104,BISQUE,#FFE4C4
105,NAVAJOWHITE,#FFDEAD
106,WHEAT,#F5DEB3
107,BURLYWOOD,#DEB887
108,TAN,#D2B48C
109,ROSYBROWN,#BC8F8F
110,SANDYBROWN,#F4A460
111,GOLDENROD,#DAA520
112,DARKGOLDENROD,#B8860B
113,PERU,#CD853F
114,CHOCOLATE,#D2691E
115,SADDLEBROWN,#8B4513
116,SIENNA,#A0522D
117,BROWN,#A52A2A
118,MAROON,#800000
119,WHITE,#FFFFFF
120,SNOW,#FFFAFA
121,HONEYDEW,#F0FFF0
122,MINTCREAM,#F5FFFA
123,AZURE,#F0FFFF
124,ALICEBLUE,#F0F8FF
125,GHOSTWHITE,#F8F8FF
126,WHITESMOKE,#F5F5F5
127,SEASHELL,#FFF5EE
128,BEIGE,#F5F5DC
129,OLDLACE,#FDF5E6
130,FLORALWHITE,#FFFAF0
131,IVORY,#FFFFF0
132,ANTIQUEWHITE,#FAEBD7
133,LINEN,#FAF0E6
134,LAVENDERBLUSH,#FFF0F5
135,MISTYROSE,#FFE4E1
136,GAINSBORO,#DCDCDC
137,LIGHTGRAY,#D3D3D3
138,SILVER,#C0C0C0
139,DARKGRAY,#A9A9A9
140,GRAY,#808080
141,DIMGRAY,#696969
142,LIGHTSLATEGRAY,#778899
143,SLATEGRAY,#708090
144,DARKSLATEGRAY,#2F4F4F
145,BLACK,#000000
